forecast_id,target_month,as_of,as_of_precision,vintage,model_key,model_label,model_version,model_provenance,estimate_mom_pct,data_cutoff,feature_hash,code_commit,status,created_at,actual_mom_pct,notes
frozen-202608-early-cfr,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,category_factor_regression,Category-factor regression,lost-v0.4,historical_import,0.187,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value; intraday cutoff unavailable.
frozen-202608-early-gb,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,gradient_boosting,Gradient boosting,lost-v0.4,historical_import,0.397,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value; exact estimator unavailable.
frozen-202608-early-hybrid,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,economic_ml_hybrid,Economic + ML hybrid,lost-v0.4,historical_import,0.311,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
frozen-202608-early-ridge,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,product_level_ridge,Product-level ridge,lost-v0.4,historical_import,0.412,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
frozen-202608-early-sector,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,sector_first_aggregation,Sector-first aggregation,lost-v0.4,historical_import,0.188,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
frozen-202608-early-rf,2026-08,2026-08-14T23:59:59+08:00,date_reconstructed,early,random_forest,Random forest,lost-v0.4,historical_import,0.438,2026-08-14,frozen-august-early,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
frozen-202608-final-cfr,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,category_factor_regression,Category-factor regression,lost-v0.4,historical_import,0.279,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value; final cutoff approximate.
frozen-202608-final-gb,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,gradient_boosting,Gradient boosting,lost-v0.4,historical_import,0.453,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value; exact estimator unavailable.
frozen-202608-final-hybrid,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,economic_ml_hybrid,Economic + ML hybrid,lost-v0.4,historical_import,0.370,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
frozen-202608-final-ridge,2026-08,2026-08-24T23:59:59+08:00,date_reconstructed,final,product_level_ridge,Product-level ridge,lost-v0.4,historical_import,0.410,2026-08-24-approx,frozen-august-final,unavailable-lost-v0.4,evaluated,2026-09-14T00:00:00Z,0.40,Frozen handoff value.
